Date,Precipitation,Temperature,Relative_humidity,Air_Pressure,PRW
1/1/1915,0.00003903527613,275.1402,83.49923,83609.85,2.7845204
1/2/1915,0.00006770000618,280.5201,88.84341,83221.57,3.9700525
1/3/1915,0.000001745272698,276.48587,95.27266,83625.35,3.120856
1/4/1915,0.00002867952935,279.44635,88.04089,83994.516,2.1286333
1/5/1915,0.00000001283301998,267.71445,80.80913,84009.48,2.024976
1/6/1915,0.0000001515988401,267.21124,73.57737,83733.08,1.5196754
1/7/1915,0.00000001050078779,268.1407,66.345604,82625.7,5.504399
1/8/1915,0.00001036075537,272.12708,66.05334,82989.35,5.648457
1/9/1915,0.0002115123061,278.48575,67.40368,83673.21,5.0508275
1/10/1915,0.00002058277641,270.96487,68.75402,84017.234,4.1239
1/11/1915,0.000001313594339,262.55374,70.10437,83616.52,2.8105004
1/12/1915,0.000001999864025,258.50034,71.45471,83246.23,5.7703757
1/13/1915,0.0000004172945012,263.20914,72.80505,83087.69,9.766505
1/14/1915,0.000009032065464,274.43152,80.64412,83243.42,7.2898135
1/15/1915,0.00003143439608,283.1806,71.3131,84010.69,4.8996387
1/16/1915,0.0002738759795,275.9068,61.98209,83732.83,2.5319462
1/17/1915,0.000001820407761,270.67477,52.651077,83228.53,4.9739923
1/18/1915,0.000007061894848,275.26416,78.39489,83501.6,4.4440312
1/19/1915,0.000003403510618,275.61505,78.29508,83547.125,4.192891
1/20/1915,0.000001863999614,276.01865,81.26133,83886.195,2.6691415
1/21/1915,0.00000426162751,279.04492,91.6674,82915.53,6.803499
1/22/1915,0.00005320278069,278.67526,80.18649,82912.47,8.111138
1/23/1915,0.000007841568731,272.38495,68.70559,82822.28,7.8414907
1/24/1915,0.00000003976140661,273.404,57.224686,83494.516,3.1408522
1/25/1915,0.00000000153923152,274.95438,72.477295,83317.19,1.5041567
1/26/1915,0.0000000004257020292,276.533,51.029587,83646.02,2.021973
1/27/1915,0.00005316938405,285.2904,88.81312,83549.4,2.1455922
1/28/1915,0.00008981174324,276.6016,44.33515,83246.89,2.2744255
1/29/1915,0.000000009499300901,274.43274,44.063145,83240.1,4.0067506
1/30/1915,0.00002204083285,273.8621,65.594025,83389.305,4.2012196
1/31/1915,0.00001550240086,274.2724,67.610855,83845.85,5.3024445
2/1/1915,0.0000003182563546,273.10187,69.62769,83625.93,4.7853365
2/2/1915,0.0000003071621109,275.04395,67.37029,83892.51,5.5354476
2/3/1915,0.0000002180414214,273.32623,65.1129,84006.17,3.9515226
2/4/1915,0.00000003918333036,272.77396,62.8555,84288.92,2.8332734
2/5/1915,0.000003910505711,275.46097,60.598103,83709.14,2.0336664
2/6/1915,0.00002887212577,275.13727,58.340706,83403.2,2.7255933
2/7/1915,0.000003413633067,272.3875,56.083305,83579.76,4.931133
2/8/1915,0.000000007937867252,272.1318,53.82591,83393.09,3.614104
2/9/1915,0,267.0399,51.568512,82815.21,2.701975
2/10/1915,0.0000009683434428,264.55798,47.6564,82371.85,5.5317025
2/11/1915,0,268.7926,42.711575,82727.125,5.2898755
2/12/1915,0.000008666390386,275.31342,76.83138,83059.44,3.3995156
2/13/1915,0.00002957264223,276.98563,70.221756,82967.45,2.1939905
2/14/1915,0.0000236323358,273.2573,63.61212,82502.02,3.1872787
2/15/1915,0.000001225961,272.04144,57.00249,82874.86,4.622778
2/16/1915,0.000000009539539825,273.7204,50.39286,83117.26,4.9301596
2/17/1915,0.000000007638157662,270.60144,43.78323,83001.72,3.42784
2/18/1915,0.00000001985806897,267.2358,37.681507,83111.22,2.8348224
2/19/1915,0.000001059432407,266.34015,43.9594,82934.61,5.259357
2/20/1915,0.00000002372741825,264.30518,51.392876,83141.12,5.68751
2/21/1915,0.000000002407908095,258.53714,58.826347,83326.54,4.6107564
2/22/1915,0.000001281096843,264.901,64.76137,83030.625,3.5239124
2/23/1915,0.00002013332778,270.64548,69.58234,83173.91,5.024374
2/24/1915,0.00002598299398,274.00983,62.47728,83309.18,6.209853
2/25/1915,0.00000003888304789,271.65662,55.37222,83547.914,6.097212
2/26/1915,0.0000001955295375,270.03293,48.267162,83044.6,3.026593
2/27/1915,0.0000009397161875,274.01627,71.61944,82830.445,4.9330006
2/28/1915,0.000005761309239,278.8136,98.08747,83389.305,6.629011
3/1/1915,0.000002360447525,278.6827,77.91717,83600.016,4.294193
3/2/1915,0,275.98312,68.17874,83981.87,2.4177043
3/3/1915,0,275.85867,62.235092,84123.29,2.000665
3/4/1915,0.000008378809071,278.04755,61.220627,83499.51,2.798097
3/5/1915,0.000001958959501,279.22446,60.206165,82691.055,2.456701
3/6/1915,0.0001792318944,276.42026,59.191704,82246.54,5.8949165
3/7/1915,0.0001417589956,274.352,58.17724,82948.12,8.087393
3/8/1915,0.0000132718269,272.85934,57.162773,83177.68,5.8357377
3/9/1915,0.0000004372754177,274.53192,56.14831,82707.07,4.1907167
3/10/1915,0.00008302446076,277.16183,57.10179,82494.51,3.7221968
3/11/1915,0.00001425211121,281.32047,64.72187,83365.32,3.601265
3/12/1915,0.0000001517391155,274.35913,43.899372,83731.5,2.8997605
3/13/1915,0.00008700731269,275.8951,58.250668,83117.84,2.1825774
3/14/1915,0.000001361087016,274.86212,61.722458,82545.375,6.353277
3/15/1915,0.0001660146518,279.2541,58.599,83705.02,5.1526003
3/16/1915,0.00000001142612227,277.223,55.475536,83809.23,2.5675805
3/17/1915,0.0000001237827547,277.60745,52.352077,83481.66,4.457028
